tract,hh_inc,less_than_hs,hs,some_college,college_grad,grad_school,ed_attain,sing_par,own_occ,oth_lang,performance_score,numb_school_child,hh_inc_comp,ed_attain_comp,sing_par_comp,own_occ_comp,oth_lang_comp,performance_score_comp,combined_score,tier
6113,33278,899,1253,140,59,24,35,54,36,82,50.57,938,11,1,29,33,10,53,23,1
6114,39620,1131,1081,298,78,7,35,25,31,88,40.48,1009,21,1,68,20,4,7,20,1
6115,36823,625,1392,212,51,28,38,39,37,83,38.63,776,16,4,46,36,9,2,19,1
6116,36574,237,680,159,18,0,39,46,49,56,41.52,347,16,5,36,64,32,11,27,1
6117,29300,240,616,236,53,5,42,60,38,52,41.52,401,5,13,24,39,34,11,21,1
6118,42262,303,666,236,14,0,39,49,35,39,41.52,396,24,6,33,30,46,11,25,1
6119,35170,246,654,235,9,36,42,87,28,22,40.88,398,14,13,6,14,62,8,19,1
6120,51522,189,516,253,44,30,45,63,40,6,43.35,288,40,19,22,45,83,18,38,2
6121,34545,197,453,231,52,43,45,89,32,4,43.25,253,13,22,4,22,87,18,27,1
6201,58810,651,1065,713,277,105,47,31,82,88,48.39,900,50,25,59,94,4,43,46,2
6202,59417,321,456,389,168,38,48,7,55,74,49.38,411,51,28,95,73,17,48,52,3
6203,59077,1133,1445,963,428,95,45,37,73,75,49.56,1286,50,20,49,88,17,48,45,2
6204,67328,895,1160,696,203,122,44,20,75,89,49.33,1023,61,17,77,89,4,47,49,3
6301,36447,162,322,130,25,18,42,30,39,66,45.49,196,16,13,61,40,24,28,30,1
6302,45795,419,515,204,76,14,40,29,46,83,47.13,393,30,7,63,58,9,36,34,2
6303,52285,1075,1305,571,354,38,42,27,53,89,43.82,1334,42,12,66,71,3,19,36,2
6304,34770,1536,1730,839,119,46,38,26,53,90,44.78,1568,13,5,68,71,2,25,31,1
6305,47301,1475,1644,498,162,50,37,49,51,91,47.52,1368,33,3,34,66,1,38,29,1
6308,48347,1569,1565,629,247,102,39,43,56,88,48.48,1541,35,6,39,74,4,44,34,2
6309,47255,1135,1289,664,79,13,38,34,59,91,47.85,1170,33,4,53,78,1,41,35,2
6401,52500,131,360,214,86,25,48,44,56,61,50.32,247,42,30,38,74,28,52,44,2
6403,66452,576,1416,1541,548,187,52,29,74,43,54.98,1152,60,42,64,88,42,67,60,3
6404,84318,341,1101,461,253,145,49,22,81,36,56.33,520,71,33,75,94,48,71,66,3
6405,86105,250,719,680,326,141,54,25,79,47,56.43,499,72,48,70,93,38,71,65,3
6406,51765,595,868,751,318,136,49,47,57,50,54.33,697,40,33,36,75,36,64,47,2
6407,57045,387,799,545,188,62,47,25,81,58,56.71,586,48,27,69,94,30,72,57,3
6408,58438,177,489,382,154,73,51,43,72,72,51.57,362,49,39,40,87,19,56,48,3
6501,43777,1056,1228,516,103,78,39,41,69,81,48.94,947,25,6,44,86,11,46,36,2
6502,56711,1121,1898,704,430,47,43,36,64,75,49.64,1374,47,14,50,83,17,49,43,2
6503.01,57632,780,1128,972,366,124,48,36,77,71,51.67,1064,49,29,50,92,20,56,49,3
